,price,description,Zipcodes,districts,house_size,number_of_rooms
11583,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,2
11584,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,50,2
11585,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,82,3
11586,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,162,7
11587,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,65,3
11588,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,40,1
11589,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,"32,69",1
11590,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,86,3
11591,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,"68,23",3
11592,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,90,3
11593,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,50,3
11594,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,50,2
11595,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,"69,03",3
11596,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,37,2
11597,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,49,2
11598,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,88,3
11599,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,57,2
11600,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,50,2
11601,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,50,2
11602,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,82,3
11603,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,162,7
11604,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,65,3
11605,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,40,1
11606,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,"32,69",1
11607,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,86,3
11608,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,"68,23",3
11609,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,90,3
11610,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,50,3
11611,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,50,2
11612,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,"69,03",3
11613,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,37,2
11614,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,49,2
11615,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,88,3
11616,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,57,2
11617,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
11618,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,50,2
11619,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,82,3
11620,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,162,7
11621,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,65,3
11622,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,40,1
11623,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,"32,69",1
